code,name,revenue,net_profit,roe,revenue_growth,gross_margin,debt_ratio,current_ratio,asset_turnover
601857,中国石油,28644.6900,1573.0200,10.1000,-2.5021,21.5868,36.3671,1.1049,1.0265
600028,中国石化,27835.8300,318.0900,3.8600,-9.4641,15.8860,54.0841,0.7483,1.3129
601668,中国建筑,20821.4181,390.6900,8.1500,-4.8092,9.8976,76.9002,1.2617,0.6169
601390,中国中铁,10934.9363,228.9170,6.7200,-5.7586,9.3389,78.1186,0.9606,0.4627
600941,中国移动,10501.8700,1370.9500,9.9000,0.9059,28.8683,33.2236,0.8111,0.5042
601186,中国铁建,10297.8446,183.6262,5.9100,-3.5034,9.7222,79.5110,1.0275,0.5219
601138,工业富联,9028.8719,352.8556,21.6500,48.2244,6.9760,63.3701,1.4364,2.3338
2594,比亚迪,8039.6496,326.1902,15.3100,3.4568,17.7445,70.7445,0.7930,0.9645
601800,中国交建,7311.0875,147.5137,4.7900,-5.2900,11.3709,76.8273,0.8944,0.3771
600153,建发股份,6712.7043,-108.1473,-22.9700,-4.2815,5.5638,74.8518,1.4181,0.8944
600104,上汽集团,6562.4381,101.0580,3.4300,4.5700,10.0918,62.3721,1.1969,0.6845
601669,中国电建,6462.3728,100.0714,6.4000,1.8126,12.4269,79.5922,0.8816,0.4842
600704,物产中大,5964.6252,36.2326,8.7000,-0.5099,2.2955,69.6504,1.1114,3.1653
600362,江西铜业,5446.2348,71.3019,8.9600,5.4228,4.3952,56.9527,1.2565,2.6450
601728,中国电信,5239.2473,331.8473,7.2000,0.0680,29.0811,46.2169,0.6368,0.6032
333,美的集团,4585.0241,439.4541,19.7000,12.0802,26.3910,61.1650,1.2134,0.7559
601618,中国中冶,4553.8042,13.2177,0.0500,-17.5072,10.0871,78.1344,1.0548,0.5528
601868,中国能建,4529.2961,58.4029,5.0500,3.7134,12.1915,77.7380,0.9901,0.5003
300750,宁德时代,4237.0183,722.0128,24.9100,17.0406,26.2728,61.9393,1.5977,0.4811
600057,厦门象屿,4102.9122,12.9299,5.0100,11.8964,2.0773,70.4308,1.2356,3.2489
600938,中国海油,3982.2000,1220.8200,15.6400,-5.2998,51.4688,26.7054,3.2370,0.3696
600050,中国联通,3922.2288,91.2666,5.3900,0.6760,23.5369,43.8943,0.6456,0.5837
601899,紫金矿业,3490.7908,517.7733,33.0400,14.9648,27.7273,51.5586,1.1446,0.7684
600755,厦门国贸,3371.1687,5.0906,0.2400,-4.8874,1.5223,65.2281,1.2594,3.2882
2475,立讯精密,3323.4444,165.9977,21.1000,23.6425,11.9119,66.0661,1.1107,1.2533
600019,宝钢股份,3175.0779,103.4562,5.0700,-1.4306,7.2392,37.9675,0.9896,0.8724
2493,荣盛石化,3086.2232,8.4831,1.9400,-5.4684,12.2152,74.9137,0.3934,0.8074
2352,顺丰控股,3082.2665,111.1722,11.5100,8.3702,13.3176,49.0344,1.2529,1.4326
600048,保利发展,3081.4419,10.3470,0.5400,-1.1301,12.7496,72.2597,1.7260,0.2442
600690,海尔智家,3023.4678,195.5280,16.9800,5.7100,26.6608,57.4107,1.0737,1.0310
601088,中国神华,2949.1600,528.4900,12.7600,-13.2059,35.0781,23.3066,1.6465,0.4552
601607,上海医药,2835.7960,57.2456,7.7400,3.0258,10.7259,61.4893,1.3348,1.2483
601766,中国中车,2730.6310,131.8101,7.7000,10.7876,21.3793,60.7682,1.1796,0.5135
300999,金龙鱼,2451.2557,31.5289,3.3200,2.8732,6.4298,55.8632,1.1916,1.0804
601600,中国铝业,2411.2522,126.7392,17.6400,1.6937,18.0281,46.0088,1.3573,1.0887
906,浙商中拓,2355.0245,2.2272,3.8900,16.6425,0.9336,74.5429,1.3415,6.1422
2,万科A,2334.3277,-885.5647,-55.4200,-31.9788,9.4612,76.8906,1.2339,0.2024
338,潍柴动力,2318.0928,109.3050,12.0800,7.4731,21.4754,64.3345,1.1547,0.6517
600011,华能国际,2292.8806,144.0955,19.0400,-6.6230,18.4473,65.2629,0.5233,0.3826
601633,长城汽车,2228.2424,98.6528,11.7600,10.2000,18.0421,60.9868,1.0906,1.0060
601919,中远海控,2195.0381,308.6815,13.1700,-6.1384,20.0494,41.4157,1.5065,0.4474
603993,洛阳钼业,2066.8365,203.3875,26.6100,-2.9785,23.9275,50.3382,1.5521,1.1137
600170,上海建工,2059.9661,12.3714,2.1600,-31.3840,10.3081,86.0108,1.0680,0.5443
725,京东方A,2045.9022,58.5697,4.3900,3.1302,15.6352,52.4551,1.3993,0.4723
200725,京东方B,2045.9022,58.5697,4.3900,3.1302,15.6352,52.4551,1.3993,0.4723
600309,万华化学,2032.3457,125.2720,12.4400,11.6250,13.6123,62.8095,0.6160,0.6595
600346,恒力石化,2010.8730,70.7458,10.8500,-14.9379,13.1440,74.5323,0.5571,0.7512
601117,中国化学,1901.2456,64.3615,9.9300,1.8818,10.7115,69.8644,1.1237,0.7909
100,TCL科技,1842.1091,45.1678,7.9800,11.6681,13.1509,64.2261,0.9739,0.4906
600741,华域汽车,1839.9890,72.0727,11.1600,8.4876,12.3034,64.2858,1.1296,0.9564
600029,南方航空,1822.5600,8.5700,2.4400,4.6102,10.1374,84.2742,0.2764,0.5364
600606,绿地控股,1805.0672,-262.1274,-51.2600,-25.0724,4.1638,92.1017,1.0166,0.1661
878,云南铜业,1795.4203,13.0146,8.5200,4.8050,3.1632,66.5452,1.7130,3.4423
630,铜陵有色,1728.2468,24.1501,6.5900,18.6819,7.8598,53.5971,1.4740,1.9091
600519,贵州茅台,1720.5417,823.2007,32.5300,-1.2001,91.1796,16.4154,5.0900,0.5709
601111,中国国航,1714.8465,-17.7039,-4.0400,2.8709,5.1534,88.5638,0.2967,0.4979
603296,华勤技术,1714.3693,40.5429,16.8200,56.0248,7.9729,72.6156,1.1106,1.9876
651,格力电器,1711.1816,290.0310,20.3000,-9.9559,29.8073,61.7266,1.0837,0.4507
600795,国电电力,1702.4399,71.6142,12.2830,-4.9882,15.5379,73.4474,0.4184,0.3358
601127,赛力斯,1650.5364,59.5679,23.5300,13.6922,29.1419,70.9127,1.0542,1.3854
977,浪潮信息,1647.8200,24.1287,11.5500,43.2532,4.8834,73.6358,1.4386,2.1259
625,长安汽车,1639.9980,40.7522,5.3000,2.6712,15.5401,59.6057,1.2121,0.7978
200625,长安B,1639.9980,40.7522,5.3000,2.6712,15.5401,59.6057,1.2121,0.7978
600998,九州通,1613.8999,22.5486,8.2900,6.3107,7.7759,68.3288,1.2481,1.4752
601225,陕西煤业,1581.7852,167.6476,17.8800,-14.1010,29.0587,41.8429,0.9854,0.6806
2379,宏桥控股,1567.2085,178.6354,34.6300,4.2471,19.3519,59.0579,1.2108,1.4292
39,中集集团,1566.1145,2.2082,0.2900,-11.8497,12.4480,59.9445,1.2372,0.9171
1979,招商蛇口,1547.2798,10.2378,0.7300,-13.5345,13.7578,67.5155,1.5944,0.1825
600150,中国船舶,1519.7799,78.4838,7.3600,13.9685,12.5804,64.4248,1.3030,0.3688
601898,中煤能源,1480.5670,178.8358,11.4300,-21.8269,27.4891,45.8167,1.0689,0.4066
600188,兖矿能源,1449.3286,83.8095,9.9500,-7.4929,29.3403,62.2256,0.8427,0.3352
2714,牧原股份,1441.4497,154.8689,20.5700,4.4931,17.8181,54.1508,0.7814,0.8022
34,神州数码,1437.5104,5.2294,5.0500,12.1597,3.3976,79.3666,1.1867,2.8042
601061,中信金属,1418.1911,26.8944,11.8300,9.5652,1.5015,59.7629,1.1731,2.6798
600115,中国东航,1399.4100,-16.3300,-16.8100,5.9196,5.2065,86.6851,0.2056,0.4924
63,中兴通讯,1338.9546,56.1775,7.5800,10.3849,30.2506,65.2607,1.7557,0.6300
600803,新奥股份,1315.0669,46.8132,19.3500,-3.2399,13.9177,53.2117,0.7525,0.9822
2311,海大集团,1284.6823,42.8033,17.4200,12.1004,10.3332,46.4185,1.1433,2.6839
600248,陕建股份,1279.0364,2.2481,0.8600,-15.3733,11.3548,89.2951,1.0674,0.3639
601727,上海电气,1266.7859,12.0622,2.2400,9.0000,17.5219,75.4413,1.0565,0.4035
600027,华电国际,1260.1259,60.7032,11.8100,-10.9466,11.4362,61.3640,0.3781,0.4758
301,东方盛虹,1255.8732,1.3375,0.3900,-8.7796,10.7681,81.3827,0.3978,0.6133
601609,金田股份,1250.6419,7.5245,8.2400,0.7276,2.5553,66.5951,1.4959,4.3421
932,华菱钢铁,1217.4072,26.1062,4.7700,-15.8579,9.7142,53.4612,0.9109,0.8208
601991,大唐发电,1212.5542,73.8626,18.1500,-1.7965,19.0818,70.1454,0.4173,0.3696
709,河钢股份,1181.3725,10.0199,1.5600,-2.8608,10.6541,74.8277,0.4748,0.4369
600710,苏美达,1178.1142,13.5562,17.0300,0.5436,6.7869,71.5684,1.2240,2.0787
600887,伊利股份,1159.3111,115.6517,20.8700,0.1309,34.5760,61.5090,0.7289,0.7582
600039,四川路桥,1151.1141,72.9687,14.5400,7.3418,14.3567,79.1244,1.2681,0.4537
703,恒逸石化,1135.2749,2.5833,1.0500,-9.5133,4.5144,72.2801,0.5495,1.0456
2237,恒邦股份,1123.9444,6.3765,6.1200,48.2762,2.0311,64.0031,1.3754,3.6713
600839,四川长虹,1088.1580,9.8889,6.5902,4.9422,9.4202,74.1661,1.1321,1.0871
708,中信特钢,1073.7348,59.2867,14.0800,-1.6753,14.9352,58.7813,1.1814,0.9701
876,新希望,1068.5630,-17.8435,-8.8500,3.6806,6.2825,69.8947,0.4876,0.9206
600547,山东黄金,1042.8739,47.3939,15.5900,26.3814,20.4605,62.2128,0.4699,0.6301
300498,温氏股份,1038.6219,52.6642,12.5700,-1.6877,11.1835,49.8176,1.0638,1.1253
959,首钢股份,1029.1842,9.9564,1.9900,-5.1111,5.0188,55.7276,0.5366,0.8010
601611,中国核建,1019.1600,13.1905,5.1200,-10.2388,12.1435,78.6299,1.1153,0.4394
425,徐工机械,1008.2290,65.7222,11.0000,8.3681,22.6080,64.0099,1.1965,0.6009
600339,中油工程,996.5070,3.5624,1.3400,15.9844,7.3281,78.1716,1.3510,0.8623
600089,特变电工,973.1808,59.5429,8.7546,-0.6008,18.8024,55.6002,1.1456,0.4473
601598,中国外运,968.0866,40.2180,9.9200,-8.3432,5.6852,43.7835,1.5956,1.2448
938,紫光股份,967.4834,16.8552,12.0300,22.4289,14.5909,81.8492,1.0908,1.0452
2241,歌尔股份,965.5017,39.4031,11.2900,-4.3621,11.8020,58.8548,1.0837,1.1147
601233,桐昆股份,938.9148,20.3280,5.4300,-7.3197,5.5131,65.7688,0.5434,0.8618
2415,海康威视,925.0780,141.9537,17.3000,0.0133,45.8776,33.9246,2.4186,0.6851
601992,金隅集团,911.1310,-10.0947,-1.5100,-17.7025,12.0096,66.2711,1.4605,0.3454
829,天音控股,905.7000,-0.2153,-0.7200,7.7728,3.1301,89.2790,0.8745,3.5184
825,太钢不锈,903.7550,0.5153,0.1600,-9.9661,1.8969,43.5258,0.6261,1.3951
600031,三一重工,896.9950,84.0806,11.1800,14.4369,27.5361,48.3948,1.7298,0.5512
300274,阳光电源,891.8436,134.6128,31.2600,14.5490,31.8317,58.0619,1.6675,0.7631
921,海信家电,879.2849,31.8657,19.3600,-5.1939,21.3102,69.2495,1.1299,1.2589
600900,长江电力,862.4194,345.0281,15.9000,2.0713,61.6685,58.2695,0.1159,0.1532
601212,白银有色,854.5785,-7.5527,-4.8900,-1.5320,6.5492,68.9135,1.2832,1.5995
600438,通威股份,841.2828,-95.5343,-21.9500,-8.5507,2.7005,72.6338,1.1878,0.4385
600325,华发股份,834.2638,-94.9589,-64.4800,38.8478,8.7465,69.2662,2.0770,0.2150
